round,algorithm,average_type,precision,recall,f1,timestamp
9,FedAvg,macro,0.19586831327721432,0.19597704025839055,0.19315429580363913,2025-08-19T21:31:33.307502
9,FedAvg,micro,0.1964,0.1964,0.1964,2025-08-19T21:31:33.307537
9,FedAvg,weighted,0.19656446331897606,0.1964,0.1964821972439291,2025-08-19T21:31:33.307563
10,FedAvg,class:Normal,0.22682445759368836,0.21739130434782608,0.22200772200772198,2025-08-19T21:31:40.278603
10,FedAvg,class:DDoS,0.20612813370473537,0.296,0.24302134646962228,2025-08-19T21:31:40.278645
10,FedAvg,class:DoS,0.16237113402061856,0.1254980079681275,0.14157303370786517,2025-08-19T21:31:40.278676
10,FedAvg,class:Reconnaissance,0.19056261343012704,0.2219873150105708,0.20507812500000003,2025-08-19T21:31:40.278704
10,FedAvg,class:Theft,0.19345238095238096,0.1310483870967742,0.15624999999999997,2025-08-19T21:31:40.278729
10,FedAvg,macro,0.19586774394031006,0.1983850028846597,0.1935860454370419,2025-08-19T21:31:40.278922
10,FedAvg,micro,0.1984,0.1984,0.1984,2025-08-19T21:31:40.278947
10,FedAvg,weighted,0.19626120452104415,0.1984,0.1973248068516392,2025-08-19T21:31:40.278969
